,X,Y,OBJECTID,GLOBALID,FIREOCCURID,CN,REVDATE,FIRENAME,COMPLEXNAME,FIREYEAR,UNIQFIREID,SOFIRENUM,LOCALFIRENUM,REPORTINGUNIT,DISCOVERYDATETIME,SIZECLASS,TOTALACRES,STATCAUSE,COMMENTS,DATASOURCE,FIREOUTDATETIME,OWNERAGENCY,UNITIDOWNER,PROTECTIONAGENCY,UNITIDPROTECT,LATDD83,LONGDD83,FIRETYPECATEGORY,POINTTYPE,PERIMEXISTS,FIRESTATQC,DBSOURCEID,DBSOURCEDATE
765,-114.9397877,47.21854549,329408702,,,1518600,1999/11/30 00:00:00+00,WestMullan,,2013,,54,,,,G,6282,9 - Miscellaneous,ICT4 DiGiando/ ICT3 Borgen/ ICT2 Heintz/ ICT3 Barger/ ICT5 Stroot Fire records are at Fort Missoula*,2,,FS,,,,47.21855,-114.93979,WF, , , ,1,2020/09/11 04:04:00+00
1306,-110.4394444,45.04611111,329409243,,,1500990,1999/11/30 00:00:00+00,Bull,,2011,,2,,,,F,1163.9,1 - Lightning,Bull fire was in the wilderness managed for resource objectives and public safety.  Trail infrastruc,2,,FS,,,,45.04611,-110.43944,WF, , , ,1,2020/09/11 04:04:03+00
2676,-114.8805556,46.44888889,329410613,,,1507394,1999/11/30 00:00:00+00,Queen,,2012,,31,,,,E,818,1 - Lightning,Part of Powell SBW Complex,2,,FS,,,,46.44889,-114.88056,WF, , , ,1,2020/09/11 04:04:10+00
2677,-114.9394444,46.39944444,329410614,,,1507396,1999/11/30 00:00:00+00,FreezeOut,,2012,,33,,,,G,19704,1 - Lightning,Part of Powell SBW Complex,2,,FS,,,,46.39944,-114.93944,WF, , , ,1,2020/09/11 04:04:10+00
2967,-114.3519444,46.74666667,329410904,,,1517199,1999/11/30 00:00:00+00,WestFork2,,2013,,110,,,,G,6000,1 - Lightning,IAIC: Farmer. ICT3:JD Bauman. Fire merged with Schoolhouse fire on 8/19/13 and became part of the L*,2,,FS,,,,46.74667,-114.35194,WF, , , ,1,2020/09/11 04:04:11+00
3049,-115.4013889,45.62583333,329410986,,,1510531,1999/11/30 00:00:00+00,Bagley,,2012,,85,,,,F,1800,1 - Lightning,"Due to fire activity on the mcGuire fire, when this one was reported it was never staffed and became",2,,FS,,,,45.62583,-115.40139,WF, , , ,1,2020/09/11 04:04:12+00
3052,-116.2975,45.53416667,329410989,,,1510391,1999/11/30 00:00:00+00,Sheep,,2012,,89,,,,G,48626,9 - Miscellaneous,,2,,FS,,,,45.53417,-116.2975,WF, , , ,1,2020/09/11 04:04:12+00
3053,-114.8858333,46.16111111,329410990,,,1510198,1999/11/30 00:00:00+00,WestTrout,,2012,,91,,,2012/01/01 00:00:00+00,F,2325,1 - Lightning,,2,,FS,,,,46.16111,-114.88583,WF, , , ,1,2020/09/11 04:04:12+00
3343,-113.6769444,46.20666667,329411280,,,1497053,1999/11/30 00:00:00+00,Lutz,,2011,,28,,,,F,3982,1 - Lightning,Harrington/LaTray (t),2,,FS,,,,46.20667,-113.67694,WF, , , ,1,2020/09/11 04:04:13+00
3733,-114.7833333,45.65055556,329411670,,,1518259,1999/11/30 00:00:00+00,GoldPan,,2013,,10,,,,G,41763,1 - Lightning,"Multiple IC's/Teams, Incident #13039, MA 7b, 11a, and 6.  This far was a part of the Gold Pan Compl*",2,,FS,,,,45.65056,-114.78333,WF, , , ,1,2020/09/11 04:04:14+00
3916,-113.1338889,47.73083333,329411853,,,1515106,1999/11/30 00:00:00+00,RockCreek2,,2013,,5 8,,,,E,589,1 - Lightning,Rock Creek is part of the Red Shale decision making process in WFDSS per Corey Buhl.  Contained / C*,2,,FS,,,,47.73083,-113.13389,WF, , , ,1,2020/09/11 04:04:15+00
3955,-113.61,45.96388889,329411892,,,1497443,1999/11/30 00:00:00+00,CopperMountain,,2011,,49,,,,F,1167,1 - Lightning,Managed fire,2,,FS,,,,45.96389,-113.61,WF, , , ,1,2020/09/11 04:04:15+00
3962,-114.7555556,46.35861111,329411899,,,1500611,1999/11/30 00:00:00+00,FridayRidge,,2011,,83,,,,F,1147,1 - Lightning,Managed for Resource Benefit. Fire report compiled by Greg Jacobson.,2,,FS,,,,46.35861,-114.75556,WF, , , ,1,2020/09/11 04:04:15+00
3999,-114.8180556,45.97083333,329411936,,,1527353,1999/11/30 00:00:00+00,Elevator,,2014,,477,,,,F,4227,1 - Lightning,part of Selway Complex-managed by Bitterroot NF,2,,FS,,,,45.97083,-114.81806,WF, , , ,1,2020/09/11 04:04:15+00
4024,-115.0877778,46.19638889,329411961,,,1510191,1999/11/30 00:00:00+00,Blacktail,,2012,,33,,,2012/01/01 00:00:00+00,F,1117,1 - Lightning,,2,,FS,,,,46.19639,-115.08778,WF, , , ,1,2020/09/11 04:04:16+00
4027,-114.8786111,46.00333333,329411964,,,1510393,1999/11/30 00:00:00+00,Ditch,,2012,,38,,,,G,12000,1 - Lightning,,2,,FS,,,,46.00333,-114.87861,WF, , , ,1,2020/09/11 04:04:16+00
4028,-114.7330556,46.06083333,329411965,,,1510111,1999/11/30 00:00:00+00,Pettibone,,2012,,40,,,,G,15569,1 - Lightning,,2,,FS,,,,46.06083,-114.73306,WF, , , ,1,2020/09/11 04:04:16+00
4106,-115.1116667,46.05333333,329412043,,,1527146,1999/11/30 00:00:00+00,WolfPoint,,2014,,530,,,,E,804,1 - Lightning,Managed for resource benefit,2,,FS,,,,46.05333,-115.11167,WF, , , ,1,2020/09/11 04:04:16+00
4290,-114.7916667,45.765,329412227,,,1527175,1999/11/30 00:00:00+00,RavenCreek,,2014,,22,,,,F,3853,1 - Lightning,"Forest Plan Management Area 7c, Incident # 14118, Multiple IC's",2,,FS,,,,45.765,-114.79167,WF, , , ,1,2020/09/11 04:04:17+00
4491,-114.7255556,45.95972222,329412428,,,1518769,1999/11/30 00:00:00+00,BadLuck,,2013,,40,,,,E,551,1 - Lightning,"Incident #13096 , MA 7c, Was managed by the Moose Creek Ranger District by the FMO, Tim Schaeffer.",2,,FS,,,,45.95972,-114.72556,WF, , , ,1,2020/09/11 04:04:18+00
4493,-114.5728919,45.7279073,329412430,,,1518248,1999/11/30 00:00:00+00,NezPeak,,2013,,43,,,,F,1341,1 - Lightning,"SOPL(T) Olpin, Incident # 13104, MA 7c.  This fire was part of the Gold Pan Complex with the Gold P*",2,,FS,,,,45.72791,-114.57289,WF, , , ,1,2020/09/11 04:04:18+00
4650,-110.6783333,45.42,329412587,,,1508575,1999/11/30 00:00:00+00,ParadiseValley,,2012,,9,,,,F,1000,9 - Miscellaneous,County fire that burned 20 acres of BLM land under USFS protection.,2,,MT,,,,45.42,-110.67833,WF, , , ,1,2020/09/11 04:04:19+00
4655,-113.8880556,46.71611111,329412592,,,1502469,1999/11/30 00:00:00+00,WestRiverside,,2011,,144,,,,F,3800,7 - Arson,DNRC Protection - burned mostly on federal lands. IMT2 Grant assigned. ,2,,MT,,,,46.71611,-113.88806,WF, , , ,1,2020/09/11 04:04:19+00
4859,-115.2497222,45.59972222,329412796,,,1526560,1999/11/30 00:00:00+00,Myers,,2014,,474,,,,F,2674,1 - Lightning,Manage Resource Objection,2,,FS,,,,45.59972,-115.24972,WF, , , ,1,2020/09/11 04:04:20+00
4865,-115.1738889,45.58333333,329412802,,,1526556,1999/11/30 00:00:00+00,Rain,,2014,,413,,,,F,4060,1 - Lightning,Manage Resource Objective,2,,FS,,,,45.58333,-115.17389,WF, , , ,1,2020/09/11 04:04:20+00
5147,-115.2166667,47.69333333,329413084,,,1526444,1999/11/30 00:00:00+00,Spruce2,,2014,,10,,,,F,1277,1 - Lightning,"DIST #10, SO #65. ICT4 RICHARD GRIFFIN. ICT3 RYAN BUTLER T",2,,FS,,,,47.69333,-115.21667,WF, , , ,1,2020/09/11 04:04:22+00
5246,-114.2177778,45.55944444,329413183,,,1509685,1999/11/30 00:00:00+00,ChrandalCreek,,2012,,4,,,,F,2562,1 - Lightning,"FOREST PLAN MANAGEMENT AREA 8A, 5, AND 1, INCIDENT # 5432, IC SHAWN PEARSON",2,,FS,,,,45.55944,-114.21778,WF, , , ,1,2020/09/11 04:04:22+00
5320,-106.1813889,45.16944444,329413257,,,1499607,1999/11/30 00:00:00+00,LittleFork,,2011,,28,,,,G,34550,1 - Lightning,The Little and Fork fires burned together and became part of the Diamond Complex,2,,CO,,,,45.16944,-106.18139,WF, , , ,1,2020/09/11 04:04:22+00
5321,-105.8116667,45.26333333,329413258,,,1499610,1999/11/30 00:00:00+00,Maverick,,2011,,29,,,,G,11210,1 - Lightning,The Maverick fire escaped initial attack on 8/22/2011 and became part of the Diamond Complex,2,,BLM,,,,45.26333,-105.81167,WF, , , ,1,2020/09/11 04:04:22+00
5338,-110.5752778,45.50638889,329413275,,,1508585,1999/11/30 00:00:00+00,PineCreek,,2012,,43,,,,G,8612,2 - Equipment Use,"Started on private land and rapidly spread to USFS. IC(s) Fowler, Poncin(T1), Juvan(T3), Shanafelt(T",2,,MT,,,,45.50639,-110.57528,WF, , , ,1,2020/09/11 04:04:23+00
5467,-111.905195,44.81360074,329413404,,,1514759,1999/11/30 00:00:00+00,Eureka,,2013,,33,,,,G,6768,1 - Lightning, ,2,,FS,,,,44.8136,-111.90519,WF, , , ,1,2020/09/11 04:04:23+00
5507,-114.9952778,45.57222222,329413444,,,1518795,1999/11/30 00:00:00+00,Center,,2013,,42,,,,F,1595,1 - Lightning,Fire in Wilderness,2,,FS,,,,45.57222,-114.99528,WF, , , ,1,2020/09/11 04:04:23+00
5523,-115.0663889,45.62722222,329413460,,,1518794,1999/11/30 00:00:00+00,Lake,,2013,,76,,,,G,5500,1 - Lightning,Fire in Wilderness,2,,FS,,,,45.62722,-115.06639,WF, , , ,1,2020/09/11 04:04:23+00
5846,-115.5697222,46.90888889,329413783,,,1507779,1999/11/30 00:00:00+00,Jug,,2012,,71,,,,F,1675,1 - Lightning,Part of the Isabella Complex,2,,FS,,,,46.90889,-115.56972,WF, , , ,1,2020/09/11 04:04:25+00
5989,-113.8508333,46.43777778,329413926,,,1489542,1999/11/30 00:00:00+00,AlderCreek,,2010,,95,,,,E,871,1 - Lightning,ICT3 Karl Nikoleyczik and ICT3(t) Lori Cotter,2,,FS,,,,46.43778,-113.85083,WF, , , ,1,2020/09/11 04:04:25+00
6084,-113.1225,47.20444444,329414021,,,1510646,1999/11/30 00:00:00+00,WedgeCreek,,2012,,115,,,,F,2021,1 - Lightning,"I# 1236, IC-Matt Smith, MA-12, FMU-3, Contained 11/07/2012-1544",2,,FS,,,,47.20444,-113.1225,WF, , , ,1,2020/09/11 04:04:26+00
6291,-116.5338889,48.90694444,329414228,,92D69E8C-9FB7-42A4-9D2C-303177134A7D,6336114,1999/11/30 00:00:00+00,ParkerRidge,,2015,2015-IDIPF-000659,88,,,,G,6675,1 - Lightning,IC Mulvaney,2,,USFS,,,,48.90694,-116.53389,WF, , , ,1,2020/09/11 04:04:27+00
6293,-106.2555556,45.71138889,329414230,,,6350270,1999/11/30 00:00:00+00,Bringoff,,2015,,3,,,,F,4194.5,9 - Miscellaneous,,2,,BLM,,,,45.71139,-106.25556,WF, , , ,1,2020/09/11 04:04:27+00
6432,-110.9830556,45.12055556,329414369,,,1519109,1999/11/30 00:00:00+00,SheepCreek,,2013,,16,,,,E,570,1 - Lightning,Part of Miner Paradise Complex.,2,,FS,,,,45.12056,-110.98306,WF, , , ,1,2020/09/11 04:04:27+00
6778,-114.9330556,46.15083333,329414715,,,1510185,1999/11/30 00:00:00+00,Vista,,2012,,52,,,2012/01/01 00:00:00+00,G,8708,1 - Lightning,,2,,FS,,,,46.15083,-114.93306,WF, , , ,1,2020/09/11 04:04:29+00
6779,-115.0336111,45.6925,329414716,,,1510534,1999/11/30 00:00:00+00,Bleak,,2012,,54,,,,G,23700,1 - Lightning,,2,,FS,,,,45.6925,-115.03361,WF, , , ,1,2020/09/11 04:04:29+00
6780,-115.0027778,45.74472222,329414717,,,1510535,1999/11/30 00:00:00+00,HotSprings,,2012,,56,,,,F,3660,1 - Lightning,,2,,FS,,,,45.74472,-115.00278,WF, , , ,1,2020/09/11 04:04:29+00
6789,-115.0008333,45.96916667,329414726,,,1510189,1999/11/30 00:00:00+00,SquareRock,,2012,,71,,,2012/01/01 00:00:00+00,G,5221,1 - Lightning,,2,,FS,,,,45.96917,-115.00083,WF, , , ,1,2020/09/11 04:04:29+00
6793,-115.1830556,46.26166667,329414730,,,1510196,1999/11/30 00:00:00+00,ShastaLake,,2012,,78,,,2012/01/01 00:00:00+00,E,579,1 - Lightning,,2,,FS,,,,46.26167,-115.18306,WF, , , ,1,2020/09/11 04:04:29+00
6810,-114.8744444,45.6575,329414747,,,1509982,1999/11/30 00:00:00+00,SalamanderRidge,,2012,,41,,,,F,2500,1 - Lightning,"FOREST PLAN MANAGEMENT AREA 7C, INCIDENT # 5499, IC DEMOSS.  FIRE WAS OVERTAKEN AND BECAME PART OF T",2,,FS,,,,45.6575,-114.87444,WF, , , ,1,2020/09/11 04:04:29+00
6814,-114.8897222,45.58,329414751,,,1509985,1999/11/30 00:00:00+00,Hamilton,,2012,,46,,,,G,6108,1 - Lightning,"FOREST PLAN MANAGEMENT AREA 7B, INCIDENT 5512, IC FOX.  FIRE WAS OVERTAKEN AND ABSORBED INTO THE MUS",2,,FS,,,,45.58,-114.88972,WF, , , ,1,2020/09/11 04:04:29+00
6818,-114.7394444,45.78472222,329414755,,,1509562,1999/11/30 00:00:00+00,IndianRidge,,2012,,52,,,,F,1764,1 - Lightning,"FOREST PLAN MANAGEMENT AREA 7C, INCIDENT # 5516, IC DEMOSS",2,,FS,,,,45.78472,-114.73944,WF, , , ,1,2020/09/11 04:04:29+00
7135,-113.8761111,46.08666667,329415072,,,1500634,1999/11/30 00:00:00+00,CoyoteMeadows,,2011,,35,,,,F,1467,1 - Lightning,"Incident#: 5383, IC: Jacquie Parks, FPMA: 1 Coyote Meadows fire was managed as part of the Forty One",2,,FS,,,,46.08667,-113.87611,WF, , , ,1,2020/09/11 04:04:30+00
7326,-111.9577778,45.66861111,329415263,,,1504174,1999/11/30 00:00:00+00,Pony,,2012,,18,,,,G,5157,1 - Lightning,"VARIETY OF FUELS, MULTIPLE JURISDICITONS, JOINT COMMAND",2,,FS,,,,45.66861,-111.95778,WF, , , ,1,2020/09/11 04:04:31+00
7393,-116.3247596,47.92416,329415330,,19b2fc0f-0b40-406a-bc5e-a8b09869532d,6893037,1999/11/30 00:00:00+00,Surprise Creek,,2018,2018-IDIPF-000357,24,1006,104,2018/07/28 02:11:00+00,F,3300,1 - Lightning,Managed by IMTs assigned to Cougar Fire.,2,,USFS,USFS,FS,IDIPF,47.92444,-116.32556,WF,Ignition,Y,Yes,1,2020/09/11 04:04:31+00
7394,-116.1716996,48.26582561,329415331,,df017b96-f91e-4a18-a499-7b9772ae4a74,6887304,1999/11/30 00:00:00+00,Cougar,,2018,2018-IDIPF-000392,33,6004,104,2018/07/28 22:11:00+00,G,7871,1 - Lightning,,2,,USFS,USFS,FS,IDIPF,48.26611,-116.1725,WF,Ignition,Y,Yes,1,2020/09/11 04:04:31+00
